keys,en,es,gl
MENU_START,Start,Iniciar,Iniciar
MENU_LEVEL_SELECT,Level selection,Seleccionar nivel,Seleccionar nivel
MENU_SETTINGS,Settings,Configuración,Configuración
MENU_QUIT,Quit,Salir,Saír
PAUSE_TITLE,PAUSED,PAUSA,PAUSA
PAUSE_RESUME,Resume,Continuar,Continuar
PAUSE_RESTART,Restart Level,Reiniciar nivel,Reiniciar nivel
PAUSE_LEVEL_SELECT,Level Select,Seleccionar nivel,Seleccionar nivel
PAUSE_SETTINGS,Settings,Configuración,Configuración
PAUSE_MAIN_MENU,Main Menu,Menú principal,Menú principal
SETTINGS_TITLE,Settings,Configuración,Configuración
SETTINGS_MASTER,Master,General,Xeral
SETTINGS_MUSIC,Music,Música,Música
SETTINGS_SFX,SFX,Efectos,Efectos
SETTINGS_BACK,Back,Volver,Volver
LEVEL_SELECT_TITLE,Select Level,Seleccionar nivel,Seleccionar nivel
LEVEL_BUTTON_PREFIX,Level,Nivel,Nivel
BACK,Back,Volver,Volver
HUD_MENU,Menu,Menú,Menú
HUD_ROTATE,Rotate,Rotar,Rotar
HUD_COLLAPSE,Force collapse,Forzar colapso,Forzar colapso
GAME_VICTORY,VICTORY!,¡VICTORIA!,¡VITORIA!
GAME_OVER,GAME OVER,JUEGO TERMINADO,XOGO REMATADO
GAME_COLLAPSING,COLLAPSING...,COLAPSANDO...,COLAPSANDO...
GAME_TIMER_FORMAT,Coherence time: %.1fs,Tiempo de coherencia: %.1fs,Tempo de coherencia: %.1fs
GAME_DEATH_REDZONE,COLLAPSED IN DANGER ZONE! GAME OVER!,¡COLAPSADO EN ZONA PELIGROSA! ¡JUEGO TERMINADO!,¡COLAPSADO EN ZONA PERIGOSA! ¡XOGO REMATADO!
GAME_HINT_COVERAGE,You must cover all green areas,Debes cubrir todas las áreas verdes,Debes cubrir todas as áreas verdes
GAME_NEUTRAL_SURVIVED,The system survived!,¡El sistema sobrevivió!,¡O sistema sobreviveu!
GAME_WIN_STABILIZED,QUANTUM STATE STABILIZED! YOU WIN!,¡ESTADO CUÁNTICO ESTABILIZADO! ¡GANASTE!,¡ESTADO CUÁNTICO ESTABILIZADO! ¡GAÑACHES!
LEVEL_INSTRUCTION_01,Collapse on the green zone,Colapsa en la zona verde,Colapsa na zona verde
LEVEL_INSTRUCTION_02,Don't collapse on the red zone!,¡No colapses en la zona roja!,¡Non colapses na zona vermella!
LEVEL_INSTRUCTION_03,Repeatedly collapse against walls to slip through,Colapsa repetidamente contra las paredes para pasar,Colapsa repetidamente contra as paredes para pasar
LEVEL_INSTRUCTION_04,Collapse one particle in each zone,Colapsa una partícula en cada zona,Colapsa unha partícula en cada zona
LEVEL_INSTRUCTION_05,Hold R and use WASD to position and rotate,Mantén R y usa WASD para posicionar y rotar,Mantén R e usa WASD para posicionar e rotar
LEVEL_INSTRUCTION_06,Touch unentangled particles to restore entanglement,Toca partículas no entrelazadas para re-entrelazar,Toca partículas non entrelazadas para re-entrelazar
TUNNEL_EFFECT,Tunnel Effect!,Efecto túnel!,Efecto túnel!
ENTANGLE_BREAK,Entanglement broke!,¡Entrelazamiento roto!,¡Entrelazamento roto!
RE_ENTANGLEMENT,RE-ENTANGLEMENT!,¡ENTRELAZAMIENTO!,¡ENTRELAZAMENTO!
TUNNEL_TIP,TIP: Collapse position is influenced by the direction of movement,CONSEJO: Posición del colapso es influenciada por dirección de movimiento, CONSELLO: Posición do colapso está influenciada pola dirección do movemento
LEVEL_COMPLETE,LEVEL COMPLETE!,¡NIVEL COMPLETADO!,¡NIVEL COMPLETADO!
NEXT_LEVEL,Next Level,Siguiente nivel,Seguinte nivel
MAIN_MENU,Main Menu,Menú principal,Menú principal
GAME_COMPLETE,All Levels Complete!,¡Todos los niveles completados!,¡Todos os niveis completados!
GAME_COMPLETE_TITLE,Thank you for playing!,¡Gracias por jugar!,¡Grazas por xogar!
MOVEMENT_TIP,Use WASD or arrows to move,Usa WASD o las flechas para moverte,Usa WASD ou as fechas para moverte
